,negative_prob,neutral_prob,positive_prob,predicted,true
0,0.17445599176908733,0.38311545568372923,0.44242855254718333,positive,neutral
1,0.06533876141857876,0.01931094934644464,0.9153502892349752,positive,positive
2,0.001164161645190327,0.010961489592544619,0.9878743487622627,positive,positive
3,0.513388880183724,0.25763710058879324,0.22897401922748145,negative,positive
4,0.29133462254561665,0.3724044046357321,0.3362609728186525,neutral,negative
5,0.6482731846611105,0.16471793094102213,0.18700888439786678,negative,negative
6,0.045864992584917615,0.10216780676572679,0.8519672006493558,positive,positive
7,0.7302058227155707,0.12239543964399888,0.14739873764043093,negative,negative
8,0.6173895346806909,0.15412023880329864,0.2284902265160124,negative,negative
9,0.25461277365012164,0.11501521495214675,0.6303720113977291,positive,negative
10,0.26431311083908376,0.5965031399990571,0.13918374916185858,neutral,positive
11,0.014831926348756313,0.016120497345232597,0.9690475763060121,positive,positive
12,0.006152270137941026,0.002993969345436733,0.990853760516622,positive,positive
13,0.37095916410727,0.06123330973731883,0.5678075261554142,positive,negative
14,0.22494203186718584,0.47484951615004084,0.30020845198277213,neutral,neutral
15,0.002437855634712235,0.0001732354250868919,0.9973889089402036,positive,positive
16,0.5679363349751239,0.3376215847081496,0.09444208031672614,negative,neutral
17,0.20785876651464252,0.6780159123634539,0.1141253211219009,neutral,neutral
18,0.8455202285089671,0.0651550751029761,0.08932469638805564,negative,negative
19,0.040362756702418665,0.00872466482793398,0.95091257846965,positive,positive
20,0.12787745956932609,0.3994509059123657,0.4726716345183086,positive,neutral
21,0.22003933674543996,0.2771957541148416,0.5027649091397172,positive,positive
22,0.17023980862037658,0.17258677636564382,0.6571734150139827,positive,positive
23,0.6664647671416839,0.053633702416587097,0.2799015304417297,negative,neutral
24,0.21554290195399586,0.14296593317177322,0.6414911648742335,positive,positive
25,0.29151056502925027,0.14639281530956763,0.5620966196611826,positive,positive
26,0.37088438190017775,0.5700593387652857,0.059056279334533716,neutral,positive
27,0.571188700695691,0.07549453247049963,0.3533167668338058,negative,positive
28,0.02793794480561495,0.03412790749044747,0.9379341477039387,positive,positive
29,0.02105566343145384,0.4445216575517153,0.5344226790168305,positive,positive
30,0.829707675325274,0.12675275399104505,0.04353957068368489,negative,positive
31,0.042567540893162406,0.18301770195933686,0.7744147571475006,positive,positive
32,0.12260791586592291,0.6488559815183615,0.2285361026157167,neutral,neutral
33,0.07740595996835295,0.5109287227447741,0.41166531728687256,neutral,positive
34,0.07779330801068446,0.3084469681863729,0.6137597238029411,positive,neutral
35,0.02836153339621474,0.14434673764550432,0.8272917289582798,positive,positive
36,0.22203379521817107,0.44646045334905754,0.3315057514327687,neutral,positive
37,0.19124758421038235,0.4017172061802763,0.40703520960934064,positive,positive
38,0.03325324962016878,0.4398939389859433,0.5268528113938891,positive,positive
39,0.4454501626012229,0.4342705851259251,0.12027925227285263,negative,positive
40,0.08761487712443203,0.09975707825150375,0.8126280446240667,positive,positive
41,0.0025552878819495757,0.00808228652539879,0.98936242559265,positive,positive
42,0.10828863206466811,0.007581419864274203,0.884129948071056,positive,positive
43,0.5651425183134073,0.127066644981764,0.3077908367048292,negative,negative
44,0.4109294892556342,0.1160074851444167,0.47306302559995245,positive,positive
45,0.007485962868868455,0.04300819395360597,0.9495058431775235,positive,positive
46,0.5703463756572059,0.12774733422503065,0.3019062901177637,negative,negative
47,0.18964107199633137,0.3310743270716663,0.47928460093200237,positive,neutral
48,0.22760435546869615,0.3670762398858246,0.40531940464548083,positive,neutral
49,0.1538739791776845,0.830639534532454,0.015486486289865372,neutral,neutral
50,0.009411016619673342,0.007263130653056191,0.9833258527272717,positive,positive
51,0.010630371846364919,0.014633761104016714,0.9747358670496192,positive,positive
52,0.7894563681700942,0.11696965887643927,0.09357397295346684,negative,neutral
53,0.5602971968542007,0.302398922238089,0.13730388090771095,negative,negative
54,0.2181920609569735,0.4044159634980469,0.37739197554497783,neutral,neutral
55,0.5417964622574358,0.10326829649148199,0.3549352412510819,negative,negative
56,0.029117281636646515,0.01819524418641642,0.9526874741769384,positive,positive
57,0.14970505412884988,0.04305617873926632,0.8072387671318847,positive,positive
58,0.9011052536715369,0.06334576305848483,0.03554898326997801,negative,negative
59,0.046671748507566786,0.1387878553789036,0.814540396113529,positive,positive
60,0.13015892279370583,0.7264642825937474,0.1433767946125481,neutral,neutral
61,0.8409570882934528,0.01041918898424699,0.1486237227222991,negative,negative
62,0.3312583850002773,0.5819031827299763,0.08683843226974798,neutral,negative
63,0.009762871230874208,0.10462720594943183,0.8856099228196953,positive,positive
64,0.7979576412037171,0.10197062946594099,0.10007172933033862,negative,negative
65,0.3091332200858415,0.2257987940822055,0.46506798583195186,positive,negative
66,0.5451188592433541,0.34615031816965414,0.10873082258699454,negative,negative
67,0.04274350696325932,0.07455424362905697,0.882702249407682,positive,positive
68,0.14170451454430774,0.716905500174803,0.14138998528089275,neutral,neutral
69,0.107537565445417,0.2765536259202487,0.6159088086343376,positive,positive
70,0.14569586852417465,0.22965993960165212,0.6246441918741734,positive,positive
71,0.024755742602325975,0.043529979892129964,0.9317142775055453,positive,positive
72,0.6136622121056654,0.3566397084919641,0.029698079402369047,negative,negative
73,0.0025060439535275324,0.00399465194338237,0.9934993041030895,positive,positive
74,0.08072339018399292,0.5663466831059859,0.3529299267100205,neutral,neutral
75,0.1585228421211601,0.3441138475566946,0.49736331032214554,positive,neutral
76,0.4273762578218054,0.3044908145976649,0.26813292758052815,negative,positive
77,0.008305821792761967,0.01265958900922616,0.9790345891980125,positive,negative
78,0.054983826005111515,0.45780336768642604,0.4872128063084638,positive,neutral
79,0.23206820881159418,0.28709098144750855,0.48084080974090004,positive,positive
80,0.42162274659060456,0.13581652228073132,0.44256073112866395,positive,negative
81,0.18186934035204916,0.1737644589182045,0.6443662007297429,positive,positive
82,0.08573140987604883,0.18434883901404522,0.7299197511099053,positive,positive
83,0.3564353932493881,0.20101219930757405,0.44255240744303714,positive,positive
84,0.207741113254196,0.2993693574984778,0.49288952924732565,positive,neutral
85,0.033231238446451414,0.017477901822642344,0.9492908597309091,positive,positive
86,0.011411214703908148,0.018524498473943787,0.9700642868221477,positive,positive
87,0.04840776214574145,0.7992272522283992,0.15236498562586245,neutral,neutral
88,0.0004794166641517658,0.00012003232938271817,0.9994005510064643,positive,positive
89,0.30981422106438705,0.2918287755068165,0.39835700342879965,positive,negative
90,0.7470934780518038,0.0804915036416161,0.1724150183065814,negative,negative
91,0.511672400262467,0.15741027643161232,0.33091732330591916,negative,negative
92,0.8103231777667458,0.1118237397156763,0.07785308251757878,negative,neutral
93,0.22717358206175534,0.26784354629093154,0.504982871647313,positive,positive
94,0.5076228121074106,0.11450268495525565,0.37787450293733094,negative,neutral
95,0.7604245633737517,0.11986369296069761,0.11971174366555051,negative,negative
96,0.8215980876453337,0.01057249179403395,0.1678294205606329,negative,negative
97,0.22721601004552253,0.1250865255774524,0.6476974643770219,positive,positive
98,0.45413016302504433,0.3460716548951615,0.19979818207979355,negative,negative
99,0.1677186473891327,0.42001536589633925,0.412265986714528,neutral,neutral
100,0.10495386495842333,0.10467783838349001,0.7903682966580873,positive,negative
101,0.01913065868115923,0.011757709410148833,0.9691116319086905,positive,positive
102,0.3801643045612913,0.5366258555123788,0.08320983992633114,neutral,negative
103,0.027705429373449802,0.1441733695564178,0.8281212010701353,positive,positive
104,0.27045843983072776,0.400568609415705,0.32897295075356814,neutral,neutral
105,0.13428620924027052,0.4953755737617828,0.37033821699794733,neutral,neutral
106,0.3452222456260372,0.38113370609401265,0.2736440482799516,neutral,negative
107,0.2629562096700711,0.5265337072364208,0.21051008309350863,neutral,negative
108,0.6333779395900601,0.20460044222992166,0.16202161818001734,negative,negative
109,0.19637776918601246,0.5102099439267297,0.2934122868872569,neutral,positive
110,0.22794636211701122,0.402414902856447,0.36963873502654243,neutral,positive
111,0.003397758560503632,0.01545413529332096,0.9811481061461779,positive,positive
112,0.11416623335884546,0.25238148780310066,0.6334522788380529,positive,positive
113,0.05873815224326273,0.3255163895751072,0.615745458181631,positive,neutral
114,0.041840286137515385,0.07942103374602649,0.8787386801164576,positive,positive
115,0.47261965398937283,0.26897396444240995,0.2584063815682171,negative,neutral
116,0.40235943896368,0.023272747979858496,0.5743678130564597,positive,neutral
117,0.14554401708225587,0.2770860108956506,0.5773699720220933,positive,positive
118,0.09110495509373956,0.01431045715910494,0.8945845877471554,positive,positive
119,0.03062837878810231,0.07216119193217932,0.8972104292797167,positive,positive
120,0.6598874326179373,0.17100043091341308,0.1691121364686512,negative,negative
121,0.5075732371369109,0.4182716555482302,0.07415510731486125,negative,negative
122,0.07144708508712239,0.12425530546988355,0.8042976094429936,positive,positive
123,0.5033299805070506,0.29610947650434466,0.20056054298860476,negative,neutral
124,0.17445599176908733,0.38311545568372923,0.44242855254718333,positive,positive
125,0.15579206536897067,0.3104768068930333,0.533731127737997,positive,positive
126,0.2402414510856738,0.2979641276922479,0.4617944212220771,positive,neutral
127,0.0756662280592793,0.3379804382821177,0.5863533336586023,positive,positive
128,0.2614752382269904,0.6308143778000518,0.10771038397295697,neutral,neutral
129,0.008347930551568489,0.01518110621149341,0.9764709632369383,positive,positive
130,0.17116500223758432,0.4446675412471672,0.384167456515251,neutral,positive
131,0.008051046537636162,0.044999169051262854,0.9469497844111022,positive,positive
132,0.13369376304953332,0.10589970734668336,0.7604065296037834,positive,positive
133,0.011087245058733028,0.004188969316348511,0.9847237856249216,positive,positive
134,0.6288056379025634,0.05536230870921862,0.31583205338821496,negative,positive
135,0.17989289257734098,0.6862574795651738,0.13384962785748664,neutral,neutral
136,0.27048354256794654,0.5465805080190842,0.1829359494129717,neutral,positive
137,0.40904305957572934,0.15842180888179325,0.43253513154247586,positive,neutral
138,0.07695913158267073,0.7640311519564176,0.15900971646091838,neutral,positive
139,0.13435938529629643,0.5656282743513009,0.3000123403524019,neutral,neutral
140,0.05992932022796708,0.000598052447451654,0.9394726273245778,positive,positive
141,0.22897703319881701,0.2780366927837989,0.4929862740173837,positive,neutral
142,0.07854355707118761,0.17947269135347477,0.7419837515753354,positive,positive
143,0.0196722457766115,0.6305466686455438,0.34978108557784177,neutral,neutral
144,0.01798987140459307,0.004373752245836546,0.9776363763495693,positive,positive
145,0.07144708508712239,0.12425530546988355,0.8042976094429936,positive,positive
146,0.07732097390950572,0.11485588268393022,0.8078231434065671,positive,positive
147,0.19831839750581529,0.4762948482372981,0.32538675425688796,neutral,neutral
148,0.45551182681988966,0.26772186981200474,0.2767663033681062,negative,positive
149,0.7639624352779311,0.085480123232716,0.15055744148935388,negative,negative
150,0.07602796218631075,0.8153269236752029,0.10864511413848535,neutral,neutral
151,0.47478673871293386,0.30357625274431116,0.22163700854276075,negative,negative
152,0.023016905094075897,0.50574494967692,0.47123814522900576,neutral,neutral
153,0.28074373357031995,0.21591284076773842,0.5033434256619403,positive,neutral
154,0.7481558120792953,0.21881657913159883,0.03302760878910658,negative,negative
155,0.13293611306216851,0.3688904269006116,0.49817346003722013,positive,positive
156,0.3689019915525508,0.47771373068850465,0.1533842777589441,neutral,positive
157,0.06482589571106405,0.10282647635110148,0.8323476279378375,positive,positive
158,0.15159359626207314,0.4615358211980941,0.3868705825398317,neutral,neutral
159,0.41068207280317925,0.08915153869523142,0.5001663885015925,positive,neutral
160,0.4532308893751586,0.3138105492015592,0.23295856142328017,negative,negative
161,0.11699726606402874,0.3327782210284179,0.5502245129075527,positive,positive
162,0.12992508120812185,0.2897194229001745,0.5803554958917045,positive,positive
163,0.12805542307811393,0.5490744467302967,0.3228701301915901,neutral,positive
164,0.23824348315183347,0.5120325687414714,0.2497239481066957,neutral,positive
165,0.09894795657744508,0.6339672808669599,0.2670847625556008,neutral,positive
166,0.5544981538184299,0.17122051988066575,0.2742813263009042,negative,positive
167,0.04575752769709994,0.24362074031632414,0.7106217319865742,positive,positive
168,0.36092987936721493,0.5495717187211986,0.08949840191158913,neutral,negative
169,0.4898427911260624,0.11038233482528242,0.39977487404865875,negative,negative
170,0.16510750748994737,0.565054981087216,0.2698375114228361,neutral,positive
171,0.12837060937673578,0.04107944439894988,0.8305499462243161,positive,positive
172,0.07671958272391198,0.10600791951219858,0.8172724977638882,positive,negative
173,0.17445599176908733,0.38311545568372923,0.44242855254718333,positive,neutral
174,0.17714931305561843,0.21041195540489116,0.6124387315394901,positive,negative
175,0.5155451793735155,0.16487818948145463,0.31957663114502877,negative,positive
176,0.3287969497197621,0.4305550291050398,0.24064802117519873,neutral,negative
177,0.04144677409219685,0.9284447523280478,0.03010847357975509,neutral,neutral
178,0.0812080134298879,0.7777632820042754,0.1410287045658336,neutral,negative
179,0.05597207425876951,0.1118334559225951,0.8321944698186375,positive,positive
180,0.16460722482877754,0.6398378316566087,0.19555494351461505,neutral,neutral
181,0.00023241746435162067,0.00023898912317828696,0.999528593412471,positive,positive
182,0.1373584636245144,0.3314644200329117,0.5311771163425734,positive,positive
183,0.09763688338083143,0.5820018012003827,0.3203613154187873,neutral,neutral
184,0.0220665442036167,0.12800836991856157,0.8499250858778233,positive,positive
185,0.17445599176908733,0.38311545568372923,0.44242855254718333,positive,neutral
186,0.07540022797671099,0.6369251640806947,0.28767460794259553,neutral,positive
