,negative_prob,neutral_prob,positive_prob,predicted,true
0,0.25289288253927217,0.28019479819854765,0.46691231926218024,positive,neutral
1,0.15265174653642483,0.1255703468813763,0.7217779065821983,positive,positive
2,0.049840492402808904,0.14684520928810718,0.8033142983090841,positive,positive
3,0.35300125282379136,0.28869707386484333,0.3583016733113646,positive,positive
4,0.26081784535594993,0.32532610999521305,0.41385604464883685,positive,negative
5,0.4636665441067689,0.2073448149695087,0.3289886409237226,negative,negative
6,0.09595775048035562,0.14335882696686278,0.7606834225527819,positive,positive
7,0.5907171476204575,0.16972920899646848,0.23955364338307394,negative,negative
8,0.35891282566512317,0.2384490677756177,0.40263810655925847,positive,negative
9,0.23396206072501585,0.22521553316862913,0.5408224061063555,positive,negative
10,0.2763046903231628,0.4263278512682691,0.2973674584085683,neutral,positive
11,0.05659885222184207,0.045737448944889056,0.8976636988332698,positive,positive
12,0.05185171806462608,0.05139560532230425,0.8967526766130693,positive,positive
13,0.2957197581973305,0.1550466069773102,0.5492336348253587,positive,negative
14,0.2682305820197225,0.32887704708904403,0.40289237089123264,positive,neutral
15,0.09283039208489677,0.04127824376805291,0.8658913641470509,positive,positive
16,0.5205366950069399,0.3081029146723638,0.1713603903206966,negative,neutral
17,0.24125321315394296,0.47180098249443286,0.2869458043516244,neutral,neutral
18,0.45914622696455776,0.2182978156771728,0.32255595735826936,negative,negative
19,0.1370174916228171,0.08675425059722826,0.7762282577799554,positive,positive
20,0.18314575745016787,0.3416038403608182,0.4752504021890145,positive,neutral
21,0.2877793394009037,0.23457785568338166,0.47764280491571365,positive,positive
22,0.22407531991854504,0.28798676964564546,0.4879379104358109,positive,positive
23,0.3734364905390889,0.20583893661698147,0.42072457284392806,positive,neutral
24,0.2867369063998312,0.2570142126614062,0.45624888093876104,positive,positive
25,0.2722937908620582,0.3105515238001968,0.4171546853377458,positive,positive
26,0.3169692674063016,0.43023041781935845,0.25280031477434173,neutral,positive
27,0.3746589318136822,0.1902462022963832,0.4350948658899354,positive,positive
28,0.08046634026907035,0.08422290302803646,0.8353107567028937,positive,positive
29,0.09559509436062584,0.33677527323343615,0.5676296324059379,positive,positive
30,0.35381747081508697,0.3016156909742406,0.34456683821067163,negative,positive
31,0.13416129105258118,0.2517003169952524,0.6141383919521677,positive,positive
32,0.20089934044728672,0.3891119087396849,0.4099887508130298,positive,neutral
33,0.17344735516564497,0.35767388276224055,0.4688787620721141,positive,positive
34,0.16575456934297492,0.24748620902156984,0.5867592216354552,positive,neutral
35,0.12019491898890175,0.2812423739716588,0.5985627070394387,positive,positive
36,0.23903892858335715,0.34577027473235106,0.41519079668429265,positive,positive
37,0.25411587003992603,0.3077584350439289,0.43812569491614506,positive,positive
38,0.11051410390580291,0.3399462895327742,0.5495396065614211,positive,positive
39,0.4593723506901902,0.3269928390801068,0.213634810229704,negative,positive
40,0.15709847041511144,0.18637263380836144,0.6565288957765277,positive,positive
41,0.027010367043566876,0.05583532105914886,0.9171543118972837,positive,positive
42,0.2524261004719297,0.14490400399275846,0.6026698955353117,positive,positive
43,0.5638952181955904,0.12127481492947195,0.3148299668749373,negative,negative
44,0.2985503222410985,0.2066516900731435,0.4947979876857581,positive,positive
45,0.097854240628327,0.25725129813954367,0.6448944612321285,positive,positive
46,0.5075048487217898,0.13548119892008512,0.35701395235812533,negative,negative
47,0.23358055351034143,0.3163777645279699,0.45004168196168925,positive,neutral
48,0.2534727275924455,0.2878674881163234,0.45865978429123183,positive,neutral
49,0.2827329580342061,0.49108861071422444,0.22617843125157014,neutral,neutral
50,0.049809762294261636,0.04863977537476201,0.9015504623309764,positive,positive
51,0.09571012178686311,0.12153939287694991,0.7827504853361866,positive,positive
52,0.3776160774586427,0.23943773731944545,0.38294618522191237,positive,neutral
53,0.3669921988892757,0.31283119837593415,0.32017660273479137,negative,negative
54,0.22674925163775858,0.3149078015374212,0.4583429468248201,positive,neutral
55,0.35835253031605674,0.19029551261714878,0.45135195706679615,positive,negative
56,0.08461261247821227,0.06783138023631229,0.8475560072854761,positive,positive
57,0.2234356117945849,0.08507365472928513,0.6914907334761304,positive,positive
58,0.5443477817272117,0.2528002418177723,0.20285197645501687,negative,negative
59,0.05573722065190981,0.1210703794628968,0.8231923998851934,positive,positive
60,0.23908657657859464,0.5064327554726443,0.2544806679487603,neutral,neutral
61,0.4213029499561369,0.1466841627931821,0.43201288725067993,positive,negative
62,0.3120641817219026,0.4295723772255865,0.2583634410525113,neutral,negative
63,0.08743191823816401,0.25924204211859486,0.6533260396432403,positive,positive
64,0.43378387095792487,0.2583145000510006,0.3079016289910753,negative,negative
65,0.2611838241064387,0.2801217760337169,0.45869439985984467,positive,negative
66,0.37317836491706163,0.35022430296224044,0.2765973321206986,negative,negative
67,0.15423737452798197,0.15420795286520475,0.6915546726068124,positive,positive
68,0.23101234449837119,0.47679710819100457,0.29219054731062266,neutral,neutral
69,0.17298530884343075,0.2518155432189579,0.5751991479376102,positive,positive
70,0.1878406951867667,0.15391721722224655,0.6582420875909866,positive,positive
