,index,gains,weightid,weights
0,f795,24.33338656532015,f795,124
1,f334,26.480295358705128,f334,78
2,f387,19.212473167440486,f387,84
3,f861,50.126115808819584,f861,153
4,f222,24.65950433717073,f222,41
5,f862,59.40472075412549,f862,141
6,f492,2.1506218100113466,f492,275
7,f948,6.040579694022857,f948,70
8,f349,2.5269856207999997,f349,30
9,f854,2.7909502375,f854,8
10,f977,1.2376849495770952,f977,179
11,f27,1.640327047192307,f27,52
12,f87,5.10278456106,f87,85
13,f362,1.5464348614951804,f362,83
14,f413,25.129346523190843,f413,120
15,f849,4.07663767153846,f849,13
16,f827,3.2192606325,f827,4
17,f345,1.3677739049407043,f345,199
18,f866,1.2086316117687013,f866,57
19,f794,2.6812493322,f794,5
20,f517,31.468387192735317,f517,238
21,f505,37.85749597920015,f505,163
22,f365,15.399905831310559,f365,123
23,f66,9.845293436146612,f66,118
24,f197,8.588007562638888,f197,36
25,f666,3.1683862989632905,f666,79
26,f30,9.55288616601698,f30,106
27,f988,4.483985622034483,f988,58
28,f360,3.0045643185384243,f360,349
29,f80,16.515967381842103,f80,38
30,f297,3.70567597832353,f297,34
31,f45,4.214977975999999,f45,43
32,f384,29.493578322653352,f384,75
33,f512,2.083950806,f512,10
34,f152,1.8056288844444444,f152,9
35,f951,2.975336266,f951,10
36,f296,3.063670505363636,f296,11
37,f279,1.5839133623076926,f279,13
38,f919,1.877522223947369,f919,19
39,f722,34.031313486200006,f722,50
40,f335,18.367595272419454,f335,55
41,f275,1.9075073887861107,f275,36
42,f715,2.681314066684432,f715,88
43,f373,1.6738153390416666,f373,84
44,f609,2.138902425,f609,4
45,f742,2.66795504,f742,8
46,f764,1.6238922359350003,f764,20
47,f863,1.3938498922085716,f863,35
48,f338,18.323574038202604,f338,77
49,f579,1.8288402257777778,f579,27
50,f332,2.1974859117150003,f332,20
51,f837,1.4650074201833336,f837,18
52,f578,2.121284154361446,f578,83
53,f449,1.735614014,f449,5
54,f268,1.84543495,f268,5
55,f975,21.13045782368085,f975,47
56,f971,2.7692775144,f971,25
57,f690,2.584581935300001,f690,30
58,f574,2.3660971668181636,f574,613
59,f930,3.2832963851510635,f930,47
60,f819,1.6740097604678572,f819,84
61,f515,2.2989836680000004,f515,14
62,f130,2.2539523561538464,f130,13
63,f604,6.657006727897826,f604,46
64,f839,3.4654533941481485,f839,54
65,f250,2.414573868543793,f250,29
66,f760,15.429794170226662,f760,45
67,f508,2.8412941731433023,f508,109
68,f524,2.6067740256896554,f524,29
69,f227,6.402922271495495,f227,111
70,f390,1.695674147142857,f390,14
71,f991,1.843505855,f991,2
72,f71,10.949058338641347,f71,104
73,f503,8.812544139188681,f503,53
74,f677,1.2243337608333336,f677,12
75,f9,1.5698870194652774,f9,72
76,f484,2.209015146195,f484,15
77,f589,1.4916413262471426,f589,28
78,f521,16.592495938698367,f521,53
79,f582,8.159112744170907,f582,55
80,f738,1.6409495026702383,f738,84
81,f375,31.29297699413289,f375,45
82,f950,1.483128911809523,f950,63
83,f962,1.947405656333333,f962,15
84,f55,1.63487091,f55,5
85,f820,4.451844540224491,f820,49
86,f831,19.244214584187496,f831,40
87,f314,1.8908635470384623,f314,26
88,f628,1.579599269046879,f628,189
89,f434,5.172696218955002,f434,122
90,f385,1.917519116371429,f385,35
91,f736,1.9109708173937496,f736,16
92,f204,3.1808120673875,f204,72
93,f876,1.4897055095814444,f876,90
94,f942,0.7499399185,f942,4
95,f424,8.020784059615387,f424,52
96,f758,0.0633041769306,f758,5
97,f605,1.480400519914876,f605,162
98,f15,12.289858014909727,f15,37
99,f730,3.0023485799999996,f730,3
100,f352,20.41866221860924,f352,65
101,f644,2.098672547,f644,9
102,f76,0.3009699186666667,f76,3
103,f465,1.8852957243224815,f465,129
104,f90,3.282271151461539,f90,26
105,f567,1.3305385455714287,f567,7
106,f870,2.1504057644,f870,35
107,f823,1.1830503462,f823,5
108,f793,1.523094176,f793,5
109,f958,18.178245076166657,f958,66
110,f444,1.6599975097700004,f444,10
111,f89,4.3618823029580645,f89,31
112,f269,1.7210182411250001,f269,16
113,f974,19.51920719229166,f974,36
114,f182,1.932368672615455,f182,44
115,f526,2.140898233914546,f526,110
116,f649,1.9245828945999999,f649,15
117,f25,1.618378367142857,f25,7
118,f845,1.3310493292380956,f845,21
119,f598,2.203188443917911,f598,67
120,f788,1.276110702361111,f788,36
121,f265,2.5589784707137104,f265,124
122,f340,0.8705148320396825,f340,63
123,f568,1.2942578443285717,f568,70
124,f702,2.2664306966666663,f702,6
125,f707,2.7266392710000003,f707,7
126,f631,1.9366038772399996,f631,10
127,f694,2.7922587172173077,f694,104
128,f125,2.4283275922666667,f125,15
129,f458,1.439055967666667,f458,15
130,f143,1.512922968,f143,7
131,f729,1.1108538208125,f729,32
132,f572,1.7206897477368421,f572,19
133,f871,1.5892272907234042,f871,47
134,f136,2.40049195,f136,4
135,f453,1.44201624375,f453,8
136,f979,13.680346822571432,f979,56
137,f168,14.820768983187687,f168,39
138,f935,2.1729535762363636,f935,33
139,f353,2.3546664395071244,f353,73
140,f704,1.3536721224000001,f704,5
141,f429,9.731286193634043,f429,47
142,f306,4.833486789758906,f306,73
143,f135,4.8483656019999986,f135,17
144,f490,1.2877806667000005,f490,30
145,f535,1.6762938488,f535,25
146,f337,20.200284748164698,f337,49
147,f536,2.143834643962963,f536,27
148,f527,1.1075036195416665,f527,24
149,f830,2.070851326666667,f830,3
150,f94,1.71364641,f94,2
151,f973,6.7332744116,f973,59
152,f528,1.4331600369396218,f528,53
153,f358,1.0289567881363635,f358,11
