,negative_prob,neutral_prob,positive_prob,predicted,true
0,0.22855009,0.45906156,0.3123883,1,2
1,0.16273402,0.40731958,0.42994642,2,1
2,0.41852176,0.334772,0.24670623,0,0
3,0.0021342107,0.00033581178,0.99753004,2,2
4,0.81316125,0.13027965,0.056559134,0,0
5,0.07234047,0.06660811,0.8610514,2,2
6,0.25219095,0.29672873,0.45108035,2,0
7,0.2754907,0.37807935,0.3464299,1,1
8,0.25542513,0.4397231,0.30485174,1,2
9,0.059882704,0.1318684,0.8082489,2,1
10,0.17856644,0.47929162,0.34214193,1,2
11,0.18201096,0.43575007,0.38223898,1,2
12,0.30231258,0.12968567,0.56800175,2,2
13,0.19048214,0.48171443,0.32780343,1,1
14,0.29943258,0.4540299,0.24653752,1,0
15,0.26888838,0.4263622,0.30474946,1,0
16,0.22831513,0.53086466,0.2408202,1,1
17,0.5588267,0.21024506,0.23092823,0,0
18,0.7121629,0.16370109,0.12413603,0,0
19,0.18930238,0.3009943,0.5097033,2,1
20,0.10145831,0.7017901,0.19675156,1,2
21,0.659887,0.1790746,0.16103835,0,0
22,0.039887633,0.043605316,0.916507,2,2
23,0.054577403,0.30703282,0.6383898,2,2
24,0.22021112,0.42812634,0.35166252,1,2
25,0.0019380304,0.0029863114,0.99507564,2,2
26,0.8847659,0.01926514,0.09596897,0,0
27,0.46324867,0.2365685,0.3001828,0,1
28,0.05437972,0.02625612,0.9193642,2,1
29,0.15225181,0.6633497,0.18439853,1,1
30,0.016355878,0.013748988,0.96989506,2,2
31,0.2304394,0.22019629,0.5493643,2,0
32,0.5213635,0.2956343,0.18300222,0,1
33,0.42714134,0.31147537,0.2613833,0,1
34,0.15402701,0.7378164,0.108156614,1,1
35,0.08645117,0.024397483,0.8891514,2,0
36,0.12117247,0.18988572,0.68894184,2,2
37,0.0034518146,0.015271521,0.98127663,2,2
38,0.0041504377,0.00049704156,0.9953525,2,2
39,0.065709725,0.013266661,0.92102367,2,2
40,0.17090331,0.22260325,0.6064934,2,2
41,0.24098979,0.45165917,0.30735105,1,1
42,0.2621468,0.40730706,0.33054608,1,1
